XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) Y
4.673418151644911e-06,5.473769306263421e-06,4.673418151644911e-06,4.160394382779486e-06,4.673418151644911e-06,9.886512998491526e-06
4.673446954125866e-06,4.618654202204198e-06,4.673446954125866e-06,3.745223466466996e-06,4.673446954125866e-06,7.904314770712517e-06
4.673468811203141e-06,3.176971631546621e-06,4.673468811203141e-06,3.277073346907855e-06,4.673468811203141e-06,3.052239208045648e-06
4.67349245752225e-06,2.387636186540476e-06,4.67349245752225e-06,2.79338019026909e-06,4.67349245752225e-06,-6.952457169973059e-07
4.673500693904364e-06,2.177966962335631e-06,4.673500693904364e-06,2.654879608599003e-06,4.673500693904364e-06,-3.108010787400417e-06
4.673517166668593e-06,2.256915195175679e-06,4.673517166668593e-06,2.475086375852698e-06,4.673517166668593e-06,-3.443921286816476e-06
4.673537268164898e-06,2.445673317197361e-06,4.673537268164898e-06,2.412733920209575e-06,4.673537268164898e-06,-3.567405656212941e-06
4.673554763073843e-06,2.151597527699778e-06,4.673554763073843e-06,2.672853952390142e-06,4.673554763073843e-06,-4.379798156151082e-06
4.673570806526262e-06,3.089907750108978e-06,4.673570806526262e-06,3.26708300235623e-06,4.673570806526262e-06,-2.403896814939799e-06
4.673588049234035e-06,5.60276021133177e-06,4.673588049234035e-06,3.97434996557422e-06,4.673588049234035e-06,4.098088993487181e-06
4.673607694551443e-06,7.363430086115841e-06,4.673607694551443e-06,4.520732545643114e-06,4.673607694551443e-06,1.117635747505119e-05
4.673624882565744e-06,7.177515726652928e-06,4.673624882565744e-06,4.739080395665951e-06,4.673624882565744e-06,1.452891683584312e-05
4.673645118547503e-06,6.179216143209487e-06,4.673645118547503e-06,4.795356289832853e-06,4.673645118547503e-06,1.384284587402362e-05
4.673674452994734e-06,5.185333066037856e-06,4.673674452994734e-06,4.684515261033084e-06,4.673674452994734e-06,1.134120338974753e-05
4.673702005551237e-06,4.224232270644279e-06,4.673702005551237e-06,4.457348495634506e-06,4.673702005551237e-06,7.323343197640497e-06
4.67372370483149e-06,3.517815457598772e-06,4.67372370483149e-06,4.272982550901361e-06,4.67372370483149e-06,3.754862518690061e-06
4.673749133304859e-06,3.408103566471254e-06,4.673749133304859e-06,4.104645086044911e-06,4.673749133304859e-06,2.15974478123826e-06
4.673757493373612e-06,3.548348558979342e-06,4.673757493373612e-06,4.063109372509643e-06,4.673757493373612e-06,1.61149034738628e-06
